Cluster_size,new_trigger,type1,type2
393,24,110,259
393,17,177,199
393,31,115,247
390,7,62,321
389,47,307,35
389,33,29,327
385,4,100,281
382,32,75,275
382,10,41,331
379,69,101,209
379,77,63,239
378,12,176,190
376,10,153,213
375,4,366,5
374,36,122,216
374,11,92,271
372,3,149,220
372,50,67,255
371,33,95,243
368,46,64,258
367,32,47,288
365,23,140,202
364,14,160,190
363,8,52,303
362,11,155,196
361,84,85,192
359,55,226,78
355,46,49,260
353,45,281,27
351,3,55,293
351,21,304,26
350,2,301,47
349,75,31,243
349,7,81,261
345,61,274,10
344,13,243,88
343,310,33,0
343,5,6,332
341,30,51,260
339,15,13,311
337,7,249,81
336,23,311,2
336,6,326,4
335,50,241,44
335,3,12,320
332,21,311,0
332,3,99,230
332,10,272,50
330,15,254,61
328,5,124,199
327,2,203,122
327,52,258,17
327,11,103,213
327,1,171,155
322,36,47,239
319,6,141,172
318,9,131,178
317,1,21,295
316,35,238,43
314,48,247,19
313,29,65,219
313,49,227,37
313,9,28,276
313,2,134,177
312,28,94,190
312,52,249,11
312,7,213,92
312,12,10,290
311,1,309,1
309,63,235,11
309,5,24,280
308,81,55,172
307,14,292,1
307,42,57,208
307,57,182,68
305,33,257,15
305,48,253,4
305,26,89,190
303,59,242,2
302,18,38,246
302,5,67,230
302,6,29,267
301,8,28,265
301,35,99,167
301,6,14,281
300,56,231,13
300,62,45,193
299,51,241,7
298,52,238,8
298,34,129,135
298,21,190,87
295,9,46,240
294,10,105,179
294,18,275,1
293,48,240,5
289,59,225,5
287,52,231,4
287,2,106,179
286,52,231,3
284,10,134,140
284,51,204,29
282,8,98,176
281,15,44,222
279,64,207,8
279,25,236,18
277,27,98,152
274,2,239,33
274,62,205,7
274,25,234,15
273,55,102,116
272,79,188,5
271,2,104,165
269,41,225,3
269,32,58,179
269,44,218,7
268,75,156,37
267,7,58,202
265,44,217,4
264,54,207,3
261,45,210,6
260,9,139,112
259,15,56,188
258,9,116,133
257,59,189,9
257,49,206,2
257,4,47,206
257,14,128,115
257,10,104,143
256,2,150,104
256,12,135,109
256,5,8,243
255,6,18,231
255,3,8,244
255,17,149,89
254,3,122,129
254,4,74,176
254,20,228,6
254,22,156,76
251,109,75,67
251,22,133,96
251,30,144,77
248,1,246,1
248,8,239,1
246,24,219,3
245,20,202,23
245,2,239,4
244,133,41,70
242,66,149,27
242,25,198,19
240,4,17,219
240,6,216,18
240,4,10,226
238,13,133,92
237,5,211,21
237,48,66,123
236,6,179,51
236,4,222,10
235,63,168,4
235,4,44,187
235,5,17,213
234,4,229,1
234,1,6,227
234,5,20,209
233,7,112,114
231,1,230,0
231,9,11,211
229,60,167,2
229,85,118,26
229,13,204,12
228,41,182,5
228,10,40,178
228,1,107,120
226,4,57,165
225,7,5,213
225,5,11,209
223,33,165,25
223,49,163,11
222,4,87,131
222,4,5,213
221,9,27,185
221,38,182,1
220,28,117,75
219,1,2,216
219,7,136,76
219,19,97,103
219,8,60,151
218,9,202,7
218,12,165,41
217,5,21,191
216,23,75,118
215,2,201,12
215,17,61,137
213,23,144,46
212,47,157,8
210,1,13,196
209,60,144,5
209,56,147,6
208,116,69,23
208,6,33,169
208,6,96,106
208,61,121,26
206,3,112,91
206,21,109,76
205,11,167,27
205,60,136,9
205,75,42,88
203,2,95,106
203,3,27,173
203,15,27,161
203,15,86,102
203,11,136,56
203,6,119,78
202,11,180,11
200,58,133,9
200,1,41,158
200,5,66,129
199,2,97,100
199,19,137,43
198,65,127,6
197,4,166,27
197,47,99,51
197,6,45,146
196,1,41,154
195,15,76,104
195,20,163,12
195,19,98,78
194,6,171,17
194,38,144,12
192,12,179,1
192,63,125,4
191,48,134,9
191,10,168,13
190,1,72,117
190,3,151,36
190,59,106,25
189,6,111,72
189,10,19,160
187,2,37,148
187,33,120,34
187,20,123,44
186,37,47,102
186,12,162,12
185,20,84,81
184,29,152,3
184,18,134,32
183,46,130,7
181,39,117,25
181,5,174,2
181,3,106,72
181,15,142,24
181,15,137,29
180,92,79,9
179,1,88,90
178,23,122,33
178,10,98,70
177,9,110,58
177,46,126,5
177,38,94,45
177,7,30,140
177,36,130,11
173,4,8,161
171,2,21,148
170,86,56,28
170,3,87,80
169,21,93,55
169,7,161,1
168,7,129,32
167,32,122,13
167,9,132,26
166,24,138,4
166,27,17,122
165,8,121,36
165,4,68,93
164,56,98,10
164,8,30,126
164,14,27,123
164,1,1,162
163,16,116,31
162,13,138,11
162,24,136,2
162,37,108,17
162,5,31,126
161,52,45,64
161,9,147,5
160,43,111,6
160,33,104,23
160,33,117,10
159,14,37,108
159,49,108,2
159,8,140,11
159,13,57,89
159,10,43,106
158,4,49,105
158,30,118,10
158,22,57,79
158,32,90,36
157,16,50,91
157,5,16,136
157,9,57,91
157,7,81,69
156,1,57,98
156,6,149,1
155,43,112,0
155,44,105,6
155,77,59,19
154,50,86,18
154,4,144,6
153,15,34,104
153,6,84,63
152,22,121,9
151,5,128,18
151,7,19,125
151,2,29,120
151,24,121,6
150,12,43,95
150,5,143,2
150,4,36,110
150,49,98,3
149,37,96,16
149,37,105,7
149,9,35,105
148,15,128,5
148,13,47,88
148,3,45,100
147,5,94,48
146,1,139,6
146,10,127,9
146,43,94,9
145,30,86,29
145,14,81,50
144,4,120,20
144,47,29,68
144,11,107,26
144,5,89,50
144,6,42,96
143,75,55,13
142,1,141,0
142,32,107,3
142,10,35,97
142,3,14,125
141,7,126,8
141,36,101,4
141,38,94,9
141,25,114,2
141,2,129,10
141,12,41,88
141,10,125,6
141,12,22,107
141,3,137,1
141,9,113,19
140,53,63,24
140,9,130,1
140,25,73,42
140,2,128,10
140,5,114,21
139,21,103,15
139,47,91,1
139,29,102,8
138,50,79,9
138,45,93,0
138,5,108,25
137,3,132,2
137,14,40,83
137,7,7,123
137,1,136,0
137,23,99,15
137,13,119,5
137,19,60,58
137,1,36,100
136,41,92,3
136,1,135,0
134,11,12,111
133,4,30,99
132,1,125,6
131,7,70,54
131,33,83,15
131,5,19,107
131,12,23,96
131,3,35,93
130,12,22,96
129,3,7,119
128,2,100,26
128,6,120,2
128,4,115,9
128,6,51,71
127,6,105,16
126,42,83,1
126,20,88,18
126,3,3,120
125,1,82,42
125,4,24,97
125,32,69,24
125,20,101,4
124,2,88,34
124,7,72,45
122,2,7,113
122,6,114,2
121,8,14,99
121,43,73,5
121,12,95,14
121,2,69,50
121,4,114,3
120,35,81,4
120,30,66,24
120,4,48,68
120,14,103,3
119,18,97,4
119,42,73,4
119,8,8,103
118,13,32,73
118,6,87,25
117,32,68,17
116,50,56,10
116,10,24,82
116,31,41,44
116,38,72,6
116,9,98,9
115,7,17,91
115,35,78,2
114,1,42,71
114,42,69,3
114,5,10,99
114,4,29,81
114,2,108,4
113,30,72,11
113,27,70,16
113,8,23,82
113,14,98,1
113,1,111,1
112,1,8,103
112,1,33,78
112,9,43,60
112,14,43,55
112,6,35,71
112,30,48,34
111,1,42,68
111,34,62,15
111,1,85,25
110,1,78,31
110,9,101,0
110,8,68,34
110,3,43,64
110,40,65,5
110,4,96,10
109,2,107,0
109,12,44,53
109,3,44,62
109,27,76,6
109,35,70,4
108,4,41,63
108,2,96,10
108,5,28,75
108,46,57,5
108,26,43,39
108,36,71,1
107,1,33,73
107,1,63,43
107,2,97,8
107,1,40,66
107,27,66,14
107,8,4,95
106,6,65,35
105,4,97,4
105,54,45,6
105,2,103,0
105,5,21,79
105,38,65,2
105,5,42,58
105,6,14,85
105,12,12,81
105,3,100,2
104,1,38,65
104,12,37,55
104,18,86,0
104,1,1,102
104,10,21,73
103,1,33,69
103,3,97,3
103,40,62,1
103,2,101,0
103,2,22,79
102,40,56,6
102,17,75,10
102,9,16,77
102,10,24,68
102,1,34,67
102,1,30,71
102,7,21,74
102,1,32,69
102,40,49,13
102,11,61,30
101,22,73,6
101,1,22,78
101,38,54,9
101,1,35,65
101,4,36,61
101,8,14,79
101,30,71,0
101,13,78,10
101,21,71,9
100,1,31,68
100,1,35,64
100,1,39,60
100,3,96,1
100,1,99,0
100,1,29,70
99,46,47,6
99,1,31,67
99,1,27,71
99,1,20,78
99,1,46,52
99,1,36,62
99,10,23,66
99,51,37,11
99,6,84,9
99,1,32,66
99,1,31,67
98,1,40,57
98,1,36,61
98,4,34,60
98,1,31,66
98,3,80,15
98,6,33,59
98,1,29,68
97,6,89,2
97,1,34,62
97,1,38,58
97,1,32,64
97,1,39,57
97,1,26,70
97,1,34,62
97,1,45,51
97,1,26,70
97,1,96,0
97,3,26,68
97,23,68,6
97,1,38,58
97,11,63,23
96,1,34,61
96,1,38,57
96,1,23,72
96,1,38,57
96,10,75,11
96,1,29,66
96,1,28,67
96,1,32,63
96,1,19,76
96,1,23,72
96,1,15,80
96,18,44,34
96,6,90,0
96,44,42,10
96,1,41,54
96,34,36,26
96,17,65,14
95,36,56,3
95,45,49,1
95,2,4,89
95,17,78,0
95,1,29,65
95,1,23,71
95,33,60,2
95,3,39,53
95,1,90,4
95,6,30,59
95,5,82,8
94,1,39,54
94,1,37,56
94,1,38,55
94,11,76,7
94,1,27,66
94,1,31,62
94,1,31,62
94,2,20,72
94,5,35,54
94,1,38,55
94,1,32,61
94,1,30,63
94,24,30,40
94,1,45,48
94,6,15,73
93,1,38,54
93,1,37,55
93,1,25,67
93,1,26,66
93,1,27,65
93,1,20,72
93,19,65,9
93,1,28,64
93,1,28,64
93,1,27,65
93,1,28,64
93,23,29,41
92,18,68,6
92,1,23,68
92,8,35,49
92,9,4,79
92,1,26,65
92,1,32,59
92,1,36,55
92,20,70,2
92,1,40,51
92,1,13,78
92,1,34,57
92,4,32,56
92,34,31,27
92,19,67,6
92,1,36,55
92,19,73,0
92,7,62,23
92,6,48,38
91,1,45,45
91,1,23,67
91,29,54,8
91,1,32,58
91,8,19,64
91,1,41,49
91,1,20,70
91,31,45,15
91,12,47,32
91,1,34,56
91,17,41,33
91,1,29,61
90,2,30,58
90,37,49,4
90,1,21,68
90,1,23,66
90,1,14,75
90,1,33,56
90,4,80,6
90,3,79,8
90,9,29,52
90,13,6,71
89,1,29,59
89,2,20,67
89,2,19,68
89,1,18,70
89,1,32,56
89,1,26,62
89,2,37,50
89,4,11,74
89,1,20,68
89,1,29,59
89,16,49,24
89,1,27,61
89,15,57,17
89,6,40,43
88,1,20,67
88,25,62,1
88,1,26,61
88,4,18,66
88,1,16,71
88,10,20,58
88,5,80,3
88,1,30,57
88,1,33,54
88,1,27,60
88,1,23,64
88,22,38,28
88,1,28,59
88,3,31,54
88,25,54,9
88,37,32,19
87,1,31,55
87,1,19,67
87,1,10,76
87,1,20,66
87,4,24,59
87,1,28,58
87,1,26,60
87,1,23,63
87,1,39,47
87,5,15,67
87,1,13,73
87,1,31,55
87,1,30,56
87,3,23,61
87,1,28,58
87,1,39,47
87,1,35,51
87,1,19,67
87,24,57,6
87,6,29,52
86,1,83,2
86,1,17,68
86,50,28,8
86,8,77,1
86,6,7,73
86,1,21,64
86,22,41,23
86,8,48,30
86,6,2,78
86,9,24,53
85,1,22,62
85,10,26,49
85,5,79,1
85,1,18,66
85,1,36,48
85,6,70,9
85,1,35,49
85,34,46,5
85,1,25,59
85,18,63,4
85,2,23,60
85,1,23,61
85,21,51,13
85,8,52,25
85,8,63,14
84,5,29,50
84,31,36,17
84,1,26,57
84,19,50,15
84,4,16,64
84,1,16,67
84,16,57,11
84,1,41,42
84,1,80,3
84,2,20,62
84,1,1,82
84,5,16,63
84,5,78,1
84,1,35,48
84,7,8,69
84,1,24,59
84,5,77,2
84,3,70,11
83,2,33,48
83,1,24,58
83,1,36,46
83,6,10,67
83,11,67,5
83,1,20,62
83,21,54,8
83,6,11,66
83,1,19,63
83,4,23,56
83,1,29,53
83,1,27,55
83,3,71,9
82,1,17,64
82,19,43,20
82,5,19,58
82,4,25,53
82,1,27,54
82,1,30,51
82,28,52,2
82,1,27,54
82,1,25,56
82,1,40,41
82,3,32,47
82,7,21,54
81,6,27,48
81,10,67,4
81,1,21,59
81,3,28,50
81,5,15,61
81,24,24,33
81,48,20,13
81,15,61,5
81,25,41,15
80,7,39,34
80,1,33,46
80,14,57,9
80,29,50,1
80,11,68,1
80,1,28,51
80,1,35,44
80,1,19,60
80,8,69,3
80,35,38,7
80,18,60,2
80,27,47,6
80,1,30,49
80,24,51,5
80,1,17,62
80,1,8,71
80,51,29,0
80,48,30,2
80,1,18,61
80,4,16,60
80,23,47,10
80,5,14,61
80,1,24,55
80,53,18,9
80,36,44,0
80,11,26,43
79,25,41,13
79,1,25,53
79,2,22,55
79,4,16,59
79,6,73,0
79,2,19,58
79,14,60,5
79,15,47,17
79,11,37,31
79,31,44,4
79,3,22,54
79,11,7,61
79,23,24,32
78,2,24,52
78,1,6,71
78,24,49,5
78,1,41,36
78,28,40,10
78,1,21,56
78,1,50,27
78,15,33,30
78,3,19,56
78,1,10,67
78,1,22,55
78,9,61,8
78,3,19,56
78,1,5,72
78,6,17,55
78,4,46,28
78,27,39,12
78,4,48,26
77,4,71,2
77,1,20,56
77,1,15,61
77,27,48,2
77,5,19,53
77,23,53,1
77,23,54,0
77,1,22,54
77,1,17,59
77,21,43,13
77,14,33,30
77,1,26,50
77,1,13,63
77,1,10,66
77,5,36,36
77,1,22,54
77,1,21,55
77,7,5,65
76,1,8,67
76,1,28,47
76,6,42,28
76,1,34,41
76,1,35,40
76,1,13,62
76,10,41,25
76,11,63,2
76,27,29,20
76,4,22,50
76,1,25,50
76,1,19,56
76,1,41,34
76,2,22,52
76,1,27,48
76,12,53,11
76,1,17,58
76,6,69,1
76,2,66,8
76,5,66,5
76,14,62,0
75,1,12,62
75,32,39,4
75,1,32,42
75,1,48,26
75,2,72,1
75,1,38,36
75,5,20,50
75,4,44,27
75,1,25,49
75,1,38,36
75,8,12,55
75,5,70,0
75,12,62,1
75,4,15,56
75,1,23,51
75,11,51,13
75,1,33,41
75,1,30,44
75,1,27,47
75,11,30,34
75,12,56,7
75,1,21,53
75,6,67,2
75,34,32,9
75,1,22,52
75,1,29,45
75,30,43,2
75,23,52,0
75,6,43,26
75,36,36,3
74,23,27,24
74,1,23,50
74,38,34,2
74,1,15,58
74,1,26,47
74,1,8,65
74,6,30,38
74,1,23,50
74,1,18,55
74,10,61,3
74,3,28,43
74,35,36,3
74,9,59,6
73,20,32,21
73,49,20,4
73,12,50,11
73,3,27,43
73,2,29,42
73,1,34,38
73,1,12,60
73,42,23,8
73,8,8,57
73,15,51,7
73,1,10,62
73,9,37,27
73,25,42,6
73,15,41,17
73,1,11,61
73,1,20,52
73,2,21,50
73,1,12,60
73,1,16,56
73,3,29,41
73,50,20,3
73,4,3,66
73,11,53,9
73,10,20,43
73,5,61,7
73,16,50,7
73,19,49,5
73,23,39,11
73,11,62,0
72,1,23,48
72,7,65,0
72,4,3,65
72,1,28,43
72,5,13,54
72,1,15,56
72,1,71,0
72,20,47,5
72,33,12,27
72,9,58,5
72,13,46,13
72,1,17,54
72,1,16,55
72,1,19,52
72,14,58,0
72,1,17,54
72,45,21,6
72,1,17,54
72,1,46,25
72,1,15,56
72,1,21,50
72,1,39,32
72,1,13,58
72,6,45,21
72,1,25,46
72,1,20,51
72,1,28,43
72,3,4,65
71,1,21,49
71,1,21,49
71,17,40,14
71,2,11,58
71,25,42,4
71,10,55,6
71,1,14,56
71,2,23,46
71,1,19,51
71,34,36,1
71,1,16,54
71,1,39,31
71,1,18,52
71,1,14,56
71,7,23,41
70,28,37,5
70,2,20,48
70,5,53,12
70,7,59,4
70,6,53,11
70,1,13,56
70,1,26,43
70,39,24,7
70,1,31,38
70,1,11,58
70,1,10,59
70,1,13,56
70,1,6,63
70,3,38,29
70,9,57,4
70,45,23,2
70,1,23,46
70,1,64,5
70,1,19,50
70,6,46,18
70,19,20,31
70,2,27,41
69,1,15,53
69,6,58,5
69,13,42,14
69,1,19,49
69,1,11,57
69,1,11,57
