Cluster_size,new_trigger,type1,type2
59,1,37,21
59,4,25,30
59,1,7,51
59,1,22,36
59,1,14,44
59,1,8,50
59,1,23,35
59,1,18,40
59,1,18,40
59,2,16,41
59,1,25,33
59,1,19,39
59,1,10,48
59,6,25,28
59,2,31,26
59,1,22,36
59,26,27,6
59,1,24,34
59,1,5,53
59,1,15,43
59,1,10,48
59,5,2,52
59,1,26,32
59,3,27,29
59,1,20,38
59,1,15,43
59,1,18,40
59,30,27,2
59,1,7,51
59,21,33,5
59,5,38,16
59,15,25,19
59,4,3,52
58,1,11,46
58,1,31,26
58,1,30,27
58,1,23,34
58,6,52,0
58,1,32,25
58,1,14,43
58,3,19,36
58,1,29,28
58,1,20,37
58,1,8,49
58,1,19,38
58,1,28,29
58,1,10,47
58,6,51,1
58,25,30,3
58,3,54,1
58,45,11,2
58,3,50,5
58,1,22,35
58,1,9,48
58,5,40,13
58,1,33,24
58,3,50,5
58,6,51,1
58,1,40,17
58,21,35,2
58,1,36,21
58,1,8,49
58,14,44,0
58,1,21,36
58,1,3,54
58,1,57,0
58,17,37,4
58,1,15,42
58,1,24,33
58,13,40,5
58,1,54,3
58,1,11,46
58,10,47,1
58,50,3,5
58,1,12,45
58,23,32,3
58,11,36,11
58,4,31,23
57,34,18,5
57,1,44,12
57,10,10,37
57,1,49,7
57,2,50,5
57,23,34,0
57,1,7,49
57,27,25,5
57,12,31,14
57,1,44,12
57,43,12,2
57,1,13,43
57,1,3,53
57,2,24,31
57,1,11,45
57,10,43,4
57,4,53,0
57,1,4,52
57,1,19,37
57,4,22,31
57,1,15,41
57,10,9,38
57,25,22,10
57,1,16,40
57,1,11,45
57,43,13,1
57,2,27,28
57,3,28,26
57,4,30,23
57,1,12,44
57,1,56,0
57,17,38,2
57,1,18,38
57,1,17,39
57,1,42,14
57,3,21,33
57,4,51,2
57,6,44,7
57,8,29,20
57,7,17,33
56,35,21,0
56,1,18,37
56,1,24,31
56,17,39,0
56,1,18,37
56,1,12,43
56,1,5,50
56,1,36,19
56,6,20,30
56,1,25,30
56,13,33,10
56,17,27,12
56,1,24,31
56,1,33,22
56,1,17,38
56,1,7,48
56,1,26,29
56,6,42,8
56,1,16,39
56,2,51,3
56,1,26,29
56,1,11,44
56,1,14,41
56,40,14,2
56,1,15,40
56,1,19,36
56,1,19,36
56,22,30,4
56,1,26,29
56,1,21,34
56,1,23,32
56,1,10,45
56,23,27,6
56,31,22,3
56,1,12,43
56,1,4,51
56,1,18,37
56,23,28,5
56,1,9,46
56,35,20,1
56,7,33,16
56,5,51,0
56,6,35,15
55,1,7,47
55,6,37,12
55,4,50,1
55,42,13,0
55,1,11,43
55,9,9,37
55,1,23,31
55,1,19,35
55,2,44,9
55,1,10,44
55,21,24,10
55,1,10,44
55,1,6,48
55,1,18,36
55,24,28,3
55,10,3,42
55,1,10,44
55,5,48,2
55,1,14,40
55,18,30,7
55,1,2,52
55,2,52,1
55,11,40,4
55,1,16,38
55,24,27,4
55,40,13,2
55,1,14,40
55,1,32,22
55,5,48,2
55,1,33,21
55,12,39,4
55,19,2,34
55,10,44,1
55,1,27,27
55,18,33,4
55,8,41,6
55,11,24,20
55,5,50,0
55,3,23,29
54,1,26,27
54,1,26,27
54,1,18,35
54,11,35,8
54,9,44,1
54,1,7,46
54,1,13,40
54,17,3,34
54,12,5,37
54,6,48,0
54,1,13,40
54,1,13,40
54,1,37,16
54,1,30,23
54,1,37,16
54,1,37,16
54,1,13,40
54,1,24,29
54,1,8,45
54,37,15,2
54,5,5,44
54,1,7,46
54,2,16,36
54,18,33,3
54,32,18,4
54,14,22,18
54,11,40,3
54,9,45,0
54,5,20,29
54,34,19,1
54,1,19,34
54,1,11,42
54,1,19,34
54,1,0,53
54,29,19,6
54,1,2,51
54,1,11,42
54,1,21,32
54,1,14,39
54,1,10,43
54,23,27,4
54,1,21,32
54,4,27,23
54,1,17,36
54,1,13,40
54,2,1,51
54,1,48,5
53,2,22,29
53,18,27,8
53,2,29,22
53,1,14,38
53,1,2,50
53,1,31,21
53,12,34,7
53,4,24,25
53,1,17,35
53,1,7,45
53,3,20,30
53,22,27,4
53,1,2,50
53,1,32,20
53,1,30,22
53,1,52,0
53,1,18,34
53,38,14,1
53,29,24,0
53,43,9,1
53,10,37,6
53,6,20,27
53,34,9,10
53,32,17,4
53,12,41,0
53,17,35,1
53,1,26,26
53,33,19,1
53,5,17,31
53,1,13,39
53,5,12,36
53,7,7,39
53,1,17,35
53,5,17,31
53,2,19,32
53,1,16,36
53,5,10,38
53,38,15,0
53,1,15,37
53,1,16,36
53,1,8,44
53,28,24,1
53,1,1,51
53,2,45,6
53,11,37,5
53,7,22,24
53,20,15,18
53,5,30,18
52,1,2,49
52,28,22,2
52,19,20,13
52,1,25,26
52,36,14,2
52,1,7,44
52,1,41,10
52,2,48,2
52,14,12,26
52,4,45,3
52,1,46,5
52,2,19,31
52,6,41,5
52,1,22,29
52,1,11,40
52,7,9,36
52,1,11,40
52,5,5,42
52,24,24,4
52,1,17,34
52,1,8,43
52,6,42,4
52,1,9,42
52,1,32,19
52,1,16,35
52,2,46,4
52,1,6,45
52,1,1,50
52,8,14,30
52,3,41,8
52,1,18,33
52,1,3,48
52,1,9,42
52,1,2,49
52,1,12,39
52,5,18,29
52,1,24,27
52,1,11,40
52,42,9,1
52,1,9,42
52,1,11,40
52,1,39,12
52,1,4,47
52,1,19,32
52,4,2,46
52,29,21,2
52,1,33,18
52,1,36,15
52,1,16,35
52,1,11,40
52,1,11,40
52,10,25,17
52,8,20,24
52,8,22,22
51,39,12,0
51,34,15,2
51,1,47,3
51,1,28,22
51,24,26,1
51,2,28,21
51,1,8,42
51,1,29,21
51,1,24,26
51,1,15,35
51,21,29,1
51,1,12,38
51,1,15,35
51,16,31,4
51,1,7,43
51,1,30,20
51,2,18,31
51,1,20,30
51,1,13,37
51,13,27,11
51,11,38,2
51,1,23,27
51,7,35,9
51,19,31,1
51,1,14,36
51,1,50,0
51,4,39,8
51,12,12,27
51,25,25,1
51,4,41,6
51,13,8,30
51,2,47,2
51,19,10,22
51,1,24,26
51,1,50,0
51,7,34,10
51,14,33,4
51,1,30,20
51,3,48,0
51,35,16,0
51,1,12,38
51,2,47,2
51,14,27,10
51,7,37,7
51,5,19,27
51,1,7,43
51,1,9,41
51,3,13,35
51,37,11,3
51,4,28,19
51,1,20,30
51,9,27,15
51,27,15,9
50,20,16,14
50,26,23,1
50,1,12,37
50,28,19,3
50,1,49,0
50,1,16,33
50,1,23,26
50,1,1,48
50,1,7,42
50,1,11,38
50,1,16,33
50,15,33,2
50,1,29,20
50,1,11,38
50,1,5,44
50,5,42,3
50,17,29,4
50,7,26,17
50,1,20,29
50,26,20,4
50,1,19,30
50,1,12,37
50,4,1,45
50,27,20,3
50,4,41,5
50,1,17,32
50,7,41,2
50,1,5,44
50,14,29,7
50,1,6,43
50,1,6,43
50,1,29,20
50,1,22,27
50,2,46,2
50,1,2,47
50,32,18,0
50,1,18,31
50,1,7,42
50,1,25,24
50,10,36,4
50,24,26,0
50,21,25,4
50,9,28,13
50,4,31,15
50,1,25,24
50,15,33,2
49,1,12,36
49,29,12,8
49,41,6,2
49,1,13,35
49,1,5,43
49,5,23,21
49,14,24,11
49,1,29,19
49,1,21,27
49,4,13,32
49,37,12,0
49,1,10,38
49,1,5,43
49,1,14,34
49,1,22,26
49,35,14,0
49,1,15,33
49,32,16,1
49,1,16,32
49,5,4,40
49,22,24,3
49,27,22,0
49,36,10,3
49,8,17,24
49,28,19,2
49,36,11,2
49,15,5,29
49,3,3,43
49,8,41,0
49,7,42,0
49,16,6,27
49,6,20,23
49,36,11,2
49,11,33,5
49,28,17,4
49,5,43,1
49,10,38,1
49,27,20,2
49,4,20,25
48,3,43,2
48,7,32,9
48,3,37,8
48,28,20,0
48,4,44,0
48,1,5,42
48,8,31,9
48,7,3,38
48,1,8,39
48,1,20,27
48,11,37,0
48,7,24,17
48,1,22,25
48,4,19,25
48,1,25,22
48,4,5,39
48,8,37,3
48,5,9,34
48,1,3,44
48,5,25,18
48,1,5,42
48,2,17,29
48,17,30,1
48,1,46,1
48,8,14,26
48,2,42,4
48,19,28,1
48,2,35,11
48,1,47,0
48,1,16,31
48,29,19,0
48,44,2,2
48,6,9,33
48,1,8,39
48,1,7,40
48,9,35,4
48,5,41,2
48,1,5,42
48,15,15,18
48,17,14,17
48,7,39,2
48,11,27,10
48,30,15,3
48,9,7,32
48,13,11,24
48,18,4,26
48,14,6,28
48,5,1,42
48,7,35,6
48,26,21,1
48,15,23,10
48,4,8,36
48,2,8,38
48,4,17,27
47,1,8,38
47,1,16,30
47,12,34,1
47,6,29,12
47,1,15,31
47,22,19,6
47,1,14,32
47,2,35,10
47,1,11,35
47,1,26,20
47,1,10,36
47,5,15,27
47,31,15,1
47,3,17,27
47,2,27,18
47,1,27,19
47,1,12,34
47,1,19,27
47,1,25,21
47,3,26,18
47,24,22,1
47,3,34,10
47,21,23,3
47,1,8,38
47,32,12,3
47,1,18,28
47,1,16,30
47,1,15,31
47,2,15,30
47,3,39,5
47,1,17,29
47,4,4,39
47,6,10,31
47,1,29,17
47,3,38,6
47,3,42,2
47,31,15,1
47,6,24,17
47,1,15,31
47,2,23,22
47,36,8,3
47,1,28,18
47,1,13,33
47,4,43,0
47,7,39,1
47,16,27,4
47,16,24,7
47,12,32,3
47,30,17,0
47,16,5,26
47,18,15,14
47,5,36,6
47,20,15,12
46,4,42,0
46,2,19,25
46,3,42,1
46,1,33,12
46,1,7,38
46,1,5,40
46,3,35,8
46,11,35,0
46,23,23,0
46,2,44,0
46,1,7,38
46,1,6,39
46,1,18,27
46,1,10,35
46,1,16,29
46,5,26,15
46,5,14,27
46,1,13,32
46,1,24,21
46,7,36,3
46,1,7,38
46,1,17,28
46,1,5,40
46,29,15,2
46,3,15,28
46,7,6,33
46,8,38,0
46,37,5,4
46,1,4,41
46,1,8,37
46,8,33,5
46,3,18,25
46,1,7,38
46,1,11,34
46,5,22,19
46,9,29,8
46,3,42,1
46,15,18,13
46,1,11,34
46,9,32,5
46,1,5,40
46,1,4,41
46,5,37,4
46,4,41,1
46,1,11,34
46,3,22,21
46,4,3,39
46,12,29,5
46,2,32,12
46,1,16,29
46,8,20,18
46,24,22,0
46,3,17,26
46,34,11,1
46,16,23,7
46,15,6,25
46,9,8,29
46,25,18,3
46,32,13,1
46,2,31,13
46,11,30,5
46,15,30,1
46,17,15,14
46,1,17,28
45,1,10,34
45,16,29,0
45,9,35,1
45,1,22,22
45,32,13,0
45,2,14,29
45,1,0,44
45,1,19,25
45,1,12,32
45,2,43,0
45,3,1,41
45,1,2,42
45,1,1,43
45,7,36,2
45,10,28,7
45,1,6,38
45,5,40,0
45,7,37,1
45,2,41,2
45,1,8,36
45,1,19,25
45,1,17,27
45,1,9,35
45,29,12,4
45,3,4,38
45,27,16,2
45,3,42,0
45,5,33,7
45,2,28,15
45,3,20,22
45,19,21,5
45,1,11,33
45,1,23,21
45,1,9,35
45,13,31,1
45,1,18,26
45,16,14,15
45,28,15,2
45,10,20,15
45,1,7,37
45,13,24,8
45,1,18,26
45,1,13,31
45,5,11,29
45,39,4,2
45,33,12,0
45,22,10,13
45,6,23,16
45,36,8,1
45,4,15,26
45,1,12,32
45,4,40,1
45,1,16,28
45,33,12,0
45,32,11,2
45,33,11,1
45,30,13,2
45,13,14,18
45,18,26,1
45,3,41,1
45,13,6,26
45,18,21,6
44,15,29,0
44,1,17,26
44,2,18,24
44,1,6,37
44,4,40,0
44,5,39,0
44,5,20,19
44,1,0,43
44,7,3,34
44,40,4,0
44,11,18,15
44,12,22,10
44,16,17,11
44,1,10,33
44,36,7,1
44,1,14,29
44,7,29,8
44,3,15,26
44,33,11,0
44,1,8,35
44,6,22,16
44,20,23,1
44,3,7,34
44,32,11,1
44,1,1,42
44,35,7,2
44,4,20,20
44,28,15,1
44,13,23,8
44,8,35,1
44,3,36,5
44,3,38,3
44,2,9,33
44,1,16,27
44,1,11,32
44,6,9,29
44,21,22,1
44,1,16,27
44,1,16,27
44,3,41,0
44,19,19,6
44,1,2,41
44,7,7,30
44,1,16,27
44,5,6,33
44,9,31,4
44,23,11,10
44,7,36,1
44,1,2,41
44,7,16,21
44,15,11,18
44,18,9,17
44,1,8,35
44,11,21,12
44,31,12,1
44,3,20,21
44,1,15,28
44,3,35,6
44,13,29,2
44,20,23,1
44,3,16,25
44,7,3,34
44,1,8,35
44,18,23,3
44,1,8,35
44,3,34,7
44,4,4,36
44,27,16,1
44,14,23,7
44,11,31,2
44,4,16,24
44,4,30,10
44,12,26,6
44,15,27,2
44,2,24,18
43,1,10,32
43,1,0,42
43,1,8,34
43,1,2,40
43,5,19,19
43,6,24,13
43,3,15,25
43,18,14,11
43,10,26,7
43,1,23,19
43,3,35,5
43,8,30,5
43,5,12,26
43,18,21,4
43,10,8,25
43,7,30,6
43,2,29,12
43,8,18,17
43,19,16,8
43,14,15,14
43,13,29,1
43,32,10,1
43,1,17,25
43,25,18,0
43,1,8,34
43,15,27,1
43,1,7,35
43,4,38,1
43,20,20,3
43,33,6,4
43,1,29,13
43,30,13,0
43,6,33,4
43,1,3,39
43,31,11,1
43,1,0,42
43,8,32,3
43,9,29,5
43,2,31,10
43,12,11,20
43,1,14,28
43,8,29,6
43,3,17,23
43,1,20,22
43,2,41,0
43,3,37,3
43,6,17,20
43,22,19,2
43,23,20,0
43,9,32,2
43,1,13,29
43,19,24,0
43,1,5,37
43,2,41,0
43,1,9,33
43,18,24,1
43,3,37,3
43,18,23,2
43,5,13,25
43,4,23,16
43,11,9,23
43,24,16,3
43,6,32,5
43,7,32,4
43,4,19,20
43,6,23,14
42,8,30,4
42,3,17,22
42,3,39,0
42,4,37,1
42,11,16,15
42,5,7,30
42,15,9,18
42,2,16,24
42,3,4,35
42,21,19,2
42,2,0,40
42,1,8,33
42,2,34,6
42,16,22,4
42,2,38,2
42,33,9,0
42,5,3,34
42,11,31,0
42,8,6,28
42,1,22,19
42,8,31,3
42,12,26,4
42,6,15,21
42,18,19,5
42,23,10,9
42,6,10,26
42,34,6,2
42,1,1,40
42,15,26,1
42,3,23,16
42,35,7,0
42,5,12,25
42,18,15,9
42,4,13,25
42,4,8,30
42,14,8,20
42,15,20,7
42,12,30,0
42,27,15,0
42,1,12,29
42,6,36,0
42,1,19,22
42,1,1,40
42,29,10,3
42,5,15,22
42,1,20,21
42,8,24,10
42,2,37,3
42,5,23,14
42,30,10,2
42,8,10,24
42,28,13,1
42,28,11,3
42,12,21,9
41,5,24,12
41,1,15,25
41,1,9,31
41,24,12,5
41,1,16,24
41,17,17,7
41,3,17,21
41,1,12,28
41,3,7,31
41,3,11,27
41,1,10,30
41,23,16,2
41,10,28,3
41,10,18,13
41,7,24,10
41,7,28,6
41,1,10,30
41,7,31,3
41,16,25,0
41,1,9,31
41,25,11,5
41,1,23,17
41,3,34,4
41,5,24,12
41,16,20,5
41,16,25,0
41,23,16,2
41,8,23,10
41,2,39,0
41,22,18,1
41,20,20,1
41,11,12,18
41,9,28,4
41,7,9,25
41,25,16,0
41,28,13,0
41,7,12,22
41,16,21,4
41,3,31,7
41,16,17,8
41,27,7,7
41,11,14,16
41,22,16,3
41,23,9,9
41,2,38,1
41,25,14,2
41,1,16,24
41,25,14,2
41,1,4,36
41,33,8,0
41,6,18,17
41,24,16,1
41,8,9,24
41,11,9,21
41,6,31,4
41,2,14,25
41,13,27,1
41,21,17,3
41,1,11,29
41,8,19,14
41,7,23,11
41,2,16,23
41,4,31,6
41,9,32,0
41,11,28,2
41,9,7,25
41,16,25,0
41,7,7,27
41,7,33,1
41,20,20,1
41,15,12,14
41,8,21,12
41,7,6,28
40,2,38,0
40,7,30,3
40,19,20,1
40,1,16,23
40,1,19,20
40,1,13,26
40,17,22,1
40,3,14,23
40,8,22,10
40,9,31,0
40,2,37,1
40,4,36,0
40,1,11,28
40,20,13,7
40,1,6,33
40,32,8,0
40,13,21,6
40,9,23,8
40,8,10,22
40,1,8,31
40,14,26,0
40,6,32,2
40,27,10,3
40,3,36,1
40,27,12,1
40,15,21,4
40,1,4,35
40,1,19,20
40,12,14,14
40,9,31,0
40,18,17,5
40,23,13,4
40,17,15,8
40,6,26,8
40,10,22,8
40,7,25,8
40,4,14,22
40,29,11,0
40,5,4,31
40,1,39,0
40,1,11,28
40,21,18,1
40,8,29,3
40,1,0,39
40,1,4,35
40,6,19,15
40,8,32,0
40,1,24,15
40,33,7,0
40,38,2,0
40,31,9,0
40,23,12,5
40,7,19,14
40,16,24,0
40,5,34,1
40,5,1,34
40,1,5,34
40,6,33,1
40,7,9,24
40,5,7,28
40,10,7,23
40,27,11,2
39,1,18,20
39,5,8,26
39,1,0,38
39,4,20,15
39,12,26,1
39,8,20,11
39,2,6,31
39,2,37,0
39,12,19,8
39,20,16,3
39,3,18,18
39,5,31,3
39,4,4,31
39,11,21,7
39,29,9,1
39,1,11,27
39,11,17,11
39,5,9,25
39,4,34,1
39,23,14,2
39,8,30,1
39,20,19,0
39,1,36,2
39,3,33,3
39,8,28,3
39,18,13,8
39,4,15,20
39,9,11,19
39,9,15,15
39,19,14,6
39,22,14,3
39,1,13,25
39,19,11,9
39,13,24,2
39,1,2,36
39,9,29,1
39,3,36,0
39,1,18,20
39,2,37,0
39,1,27,11
39,4,18,17
39,17,9,13
39,24,12,3
39,1,17,21
39,5,34,0
39,1,1,37
39,20,17,2
39,13,25,1
39,27,7,5
39,4,34,1
39,15,15,9
39,30,8,1
39,10,19,10
39,7,9,23
39,14,17,8
39,5,7,27
39,1,8,30
39,16,13,10
39,2,37,0
39,1,7,31
39,1,12,26
39,4,25,10
39,30,5,4
39,11,18,10
39,17,21,1
39,14,23,2
39,14,23,2
39,20,17,2
39,31,8,0
39,11,6,22
39,14,5,20
39,8,26,5
38,20,16,2
38,17,15,6
38,4,14,20
38,2,13,23
38,28,8,2
38,1,27,10
38,6,32,0
38,8,29,1
38,31,6,1
38,4,16,18
38,1,7,30
38,19,16,3
38,18,18,2
38,15,17,6
38,1,0,37
38,1,0,37
38,9,26,3
38,23,14,1
38,1,1,36
38,22,13,3
38,2,32,4
38,11,27,0
38,27,11,0
38,7,31,0
38,1,10,27
38,5,31,2
38,2,35,1
38,5,7,26
38,30,1,7
38,7,31,0
38,22,16,0
38,1,1,36
38,1,1,36
38,28,4,6
38,11,27,0
38,2,15,21
38,2,15,21
38,13,11,14
38,4,26,8
38,16,13,9
38,1,0,37
38,4,33,1
38,3,35,0
38,1,2,35
38,4,34,0
38,11,27,0
38,12,26,0
38,2,7,29
38,5,28,5
38,3,28,7
38,1,0,37
38,1,0,37
38,10,12,16
38,14,12,12
38,22,16,0
38,8,15,15
38,2,34,2
38,2,10,26
38,1,9,28
38,3,35,0
38,32,4,2
38,9,29,0
38,25,13,0
38,9,15,14
38,2,5,31
38,19,12,7
38,23,10,5
38,11,24,3
38,22,10,6
38,14,18,6
38,13,23,2
38,9,29,0
38,1,4,33
38,18,16,4
38,2,27,9
38,1,17,20
38,28,6,4
38,10,11,17
38,27,8,3
38,3,17,18
38,7,30,1
38,5,31,2
38,14,8,16
38,6,25,7
38,31,7,0
38,5,20,13
38,11,27,0
37,1,0,36
37,1,15,21
37,2,34,1
37,2,16,19
37,6,30,1
37,14,20,3
37,7,27,3
37,30,6,1
37,1,16,20
37,18,13,6
37,1,4,32
37,14,15,8
37,3,21,13
37,11,26,0
37,1,6,30
37,18,14,5
37,1,1,35
37,18,17,2
37,5,1,31
37,6,21,10
37,21,14,2
37,15,22,0
37,34,3,0
37,21,16,0
37,32,4,1
37,7,14,16
37,15,17,5
37,13,23,1
37,7,28,2
37,1,0,36
37,2,22,13
37,15,20,2
37,13,14,10
37,19,15,3
37,5,31,1
37,22,15,0
37,8,29,0
37,5,12,20
37,1,0,36
37,4,33,0
37,6,19,12
37,1,34,2
37,19,18,0
37,17,10,10
37,17,19,1
37,3,3,31
37,1,13,23
37,3,32,2
37,1,34,2
37,10,20,7
37,1,21,15
37,32,4,1
37,8,22,7
37,5,5,27
37,19,16,2
37,4,32,1
37,22,15,0
37,14,22,1
37,17,18,2
36,5,3,28
36,1,14,21
36,1,0,35
36,6,30,0
36,2,14,20
36,4,32,0
36,3,13,20
36,1,34,1
36,1,1,34
36,1,3,32
36,1,13,22
36,1,24,11
36,26,9,1
36,1,6,29
36,11,25,0
36,1,0,35
36,29,7,0
36,20,12,4
36,19,15,2
36,4,29,3
36,1,14,21
36,3,26,7
36,11,25,0
36,15,20,1
36,1,0,35
36,5,21,10
36,7,25,4
36,6,30,0
36,13,21,2
36,6,29,1
36,10,26,0
36,1,3,32
36,1,33,2
36,2,33,1
36,24,12,0
36,25,7,4
36,6,29,1
36,28,4,4
36,1,13,22
36,1,13,22
36,5,13,18
36,1,3,32
36,17,18,1
36,7,26,3
36,16,17,3
36,8,6,22
36,2,1,33
36,1,7,28
36,1,1,34
36,5,18,13
36,9,26,1
36,9,10,17
36,14,16,6
36,23,10,3
36,12,22,2
36,1,6,29
36,12,20,4
36,18,17,1
36,1,0,35
36,9,19,8
36,12,22,2
36,4,9,23
36,2,29,5
36,9,10,17
36,6,30,0
36,5,30,1
36,6,6,24
36,3,32,1
36,6,21,9
36,4,29,3
36,15,20,1
35,12,16,7
35,2,1,32
35,12,21,2
35,1,2,32
35,27,7,1
35,19,16,0
35,1,25,9
35,19,10,6
35,4,8,23
35,2,30,3
35,10,18,7
35,1,13,21
35,7,27,1
35,11,23,1
35,3,29,3
35,11,16,8
35,3,32,0
35,1,5,29
35,4,14,17
35,3,18,14
35,15,14,6
35,7,20,8
35,6,12,17
35,2,33,0
35,7,5,23
35,1,0,34
35,29,5,1
35,14,12,9
35,9,22,4
35,3,14,18
35,21,14,0
35,7,13,15
35,13,22,0
35,11,20,4
35,7,15,13
35,3,26,6
35,12,16,7
35,10,16,9
35,1,18,16
35,1,16,18
35,5,30,0
35,2,1,32
35,14,7,14
35,1,17,17
35,1,34,0
35,25,8,2
35,4,30,1
35,2,32,1
35,1,16,18
35,14,15,6
35,17,13,5
35,24,9,2
35,6,24,5
35,5,14,16
35,3,29,3
35,7,17,11
35,8,27,0
35,9,23,3
35,6,17,12
35,23,12,0
35,12,6,17
35,23,7,5
35,1,13,21
35,23,11,1
35,15,19,1
35,6,29,0
35,10,19,6
35,1,23,11
35,1,0,34
35,10,17,8
35,1,19,15
35,21,12,2
35,19,16,0
35,11,18,6
35,5,28,2
35,18,12,5
35,6,20,9
35,7,2,26
35,5,29,1
34,1,13,20
34,1,6,27
34,4,8,22
34,5,25,4
34,17,12,5
34,3,2,29
34,1,22,11
34,24,6,4
34,5,27,2
34,15,19,0
34,5,27,2
34,4,24,6
34,17,13,4
34,20,13,1
34,5,2,27
34,23,10,1
34,6,14,14
34,16,14,4
34,3,26,5
34,23,9,2
34,22,9,3
34,2,31,1
34,7,17,10
34,1,16,17
34,29,2,3
34,4,30,0
34,11,2,21
34,1,12,21
34,24,8,2
34,1,23,10
34,17,17,0
34,20,13,1
34,4,21,9
34,10,3,21
34,6,19,9
34,17,16,1
34,1,32,1
34,1,7,26
34,16,16,2
34,2,29,3
34,1,8,25
34,3,28,3
34,2,32,0
34,1,17,16
34,20,12,2
34,19,7,8
34,11,5,18
34,6,26,2
34,10,14,10
34,3,27,4
34,5,22,7
34,4,21,9
34,3,28,3
34,17,15,2
34,13,8,13
34,5,5,24
34,3,30,1
34,1,9,24
34,16,13,5
34,3,28,3
34,2,29,3
34,1,9,24
34,4,28,2
34,1,5,28
34,19,10,5
34,1,0,33
34,14,8,12
34,15,9,10
34,7,19,8
34,5,11,18
34,9,23,2
34,3,30,1
34,1,2,31
34,1,14,19
34,2,5,27
34,9,16,9
34,1,32,1
34,1,33,0
34,1,26,7
34,20,12,2
34,2,24,8
34,1,8,25
34,6,18,10
34,1,15,18
34,28,5,1
34,19,15,0
34,5,13,16
34,6,27,1
34,1,0,33
34,5,5,24
34,5,29,0
33,3,3,27
33,15,14,4
33,3,28,2
33,3,7,23
33,3,30,0
33,11,16,6
33,3,30,0
33,21,12,0
33,14,5,14
33,14,10,9
33,9,20,4
33,12,20,1
33,10,9,14
33,4,18,11
33,6,22,5
33,6,19,8
33,17,13,3
33,19,9,5
33,20,11,2
33,11,1,21
33,5,3,25
33,11,16,6
33,25,1,7
33,1,5,27
33,1,31,1
33,1,1,31
33,1,0,32
33,1,0,32
33,4,25,4
33,14,11,8
33,15,11,7
33,14,7,12
33,1,8,24
33,1,23,9
33,24,8,1
33,15,16,2
33,1,8,24
33,11,16,6
33,1,17,15
33,18,12,3
33,7,15,11
33,17,14,2
33,4,29,0
33,11,19,3
33,11,9,13
33,15,12,6
33,17,15,1
33,17,15,1
33,4,18,11
33,8,0,25
33,1,4,28
33,1,32,0
33,14,16,3
33,7,3,23
33,3,19,11
33,1,0,32
33,1,26,6
33,3,13,17
33,13,16,4
33,5,4,24
33,13,19,1
33,8,18,7
33,4,2,27
33,14,14,5
33,3,24,6
33,7,8,18
33,6,8,19
33,10,21,2
33,6,27,0
33,13,20,0
33,17,16,0
33,14,19,0
33,1,3,29
33,18,7,8
33,9,24,0
33,16,16,1
33,1,19,13
33,1,17,15
33,1,14,18
33,25,8,0
33,26,7,0
33,10,23,0
33,7,13,13
33,10,23,0
33,9,16,8
33,27,5,1
33,11,14,8
33,2,31,0
33,14,19,0
33,1,32,0
32,12,3,17
32,10,22,0
32,12,15,5
32,1,31,0
32,8,23,1
32,26,5,1
32,23,9,0
32,9,6,17
32,6,6,20
32,15,17,0
32,12,20,0
32,5,27,0
32,2,30,0
32,16,15,1
32,6,7,19
32,17,11,4
32,26,5,1
32,25,7,0
32,16,16,0
32,1,0,31
32,12,13,7
32,1,4,27
32,4,23,5
32,11,20,1
32,14,12,6
32,22,8,2
32,1,12,19
32,5,23,4
32,18,10,4
32,4,28,0
32,8,2,22
32,12,9,11
32,1,7,24
32,1,7,24
32,2,29,1
32,14,18,0
32,7,25,0
32,4,1,27
32,7,21,4
32,2,21,9
32,3,28,1
32,28,3,1
32,7,6,19
32,23,8,1
32,1,12,19
32,2,30,0
32,8,20,4
32,1,5,26
32,5,20,7
32,1,31,0
32,6,5,21
32,1,0,31
32,3,25,4
32,1,0,31
32,7,20,5
32,2,10,20
32,1,1,30
32,6,11,15
32,2,3,27
32,8,24,0
32,9,19,4
32,7,3,22
32,12,17,3
32,1,16,15
32,3,26,3
32,17,11,4
32,15,17,0
32,18,11,3
32,1,8,23
32,5,3,24
32,3,29,0
32,17,15,0
32,10,16,6
32,9,11,12
32,15,17,0
32,23,9,0
32,5,15,12
32,8,18,6
32,11,7,14
32,2,29,1
32,18,8,6
32,1,22,9
32,19,13,0
32,1,5,26
32,5,27,0
32,5,20,7
32,3,9,20
32,15,11,6
32,12,13,7
31,5,11,15
31,1,8,22
31,3,19,9
31,1,0,30
31,10,19,2
31,22,8,1
31,8,4,19
31,1,18,12
31,20,9,2
31,1,0,30
31,4,23,4
31,7,14,10
31,3,28,0
31,11,16,4
31,10,19,2
31,9,17,5
31,9,19,3
31,7,17,7
31,15,10,6
31,7,10,14
31,4,24,3
31,1,10,20
31,11,20,0
31,11,4,16
31,20,7,4
31,4,8,19
31,21,10,0
31,8,21,2
31,5,0,26
31,1,0,30
31,13,6,12
31,2,13,16
31,17,12,2
31,10,20,1
31,4,4,23
31,19,10,2
31,14,17,0
31,17,11,3
31,3,28,0
31,3,14,14
31,2,28,1
31,10,20,1
31,6,18,7
31,6,24,1
31,1,9,21
31,21,8,2
31,1,5,25
31,18,11,2
31,8,20,3
31,12,13,6
31,1,27,3
31,6,22,3
31,25,4,2
31,1,14,16
31,1,0,30
31,10,21,0
31,5,25,1
31,17,3,11
31,1,7,23
