Cluster tag,size
0.85.198.213,659
0.116.99.252,659
0.85.206.35,657
0.85.204.19,649
0.85.199.249,647
0.185.120.199,646
0.85.203.111,644
0.85.220.46,644
0.85.182.198,642
0.85.209.50,641
0.85.191.100,638
0.85.189.255,638
0.215.208.207,638
0.85.233.3,637
1.29.217.70,635
0.85.204.88,632
0.85.222.21,631
0.86.37.97,631
0.85.233.188,629
0.85.224.167,629
0.85.189.127,629
0.86.116.110,629
0.217.151.21,629
0.85.201.244,627
0.85.188.136,626
0.85.193.13,626
0.85.196.122,626
0.130.186.62,626
0.85.216.117,625
0.85.184.201,624
0.86.47.228,623
0.85.192.147,623
0.85.198.219,622
0.85.197.249,621
0.85.188.10,620
0.93.70.144,620
0.85.193.138,619
0.85.190.27,617
0.86.49.168,615
0.85.190.67,614
0.85.246.93,612
0.85.188.52,611
0.86.8.7,611
0.86.96.2,611
0.85.222.151,610
0.85.206.249,609
0.215.186.168,609
0.221.74.56,609
0.85.195.97,608
0.85.218.33,608
0.215.66.45,606
0.85.191.75,604
0.85.177.175,602
0.85.198.94,602
0.85.189.249,598
0.86.7.127,597
0.85.231.79,597
0.85.194.53,594
0.85.234.86,591
0.85.222.240,591
0.85.178.120,591
1.29.210.99,591
0.185.126.139,588
0.215.232.81,585
0.86.70.79,584
0.85.253.89,582
192.168.1.1,581
0.86.9.173,581
0.185.127.141,581
0.85.236.54,580
0.85.210.143,579
0.85.212.231,579
0.85.245.45,579
0.85.211.31,574
0.85.196.125,574
0.109.195.165,574
0.144.177.175,568
0.215.208.160,568
0.85.202.29,564
45.253.131.236,563
0.85.192.224,552
0.86.22.184,552
0.86.140.167,550
0.86.22.151,548
0.86.96.0,545
0.94.220.182,540
0.215.42.19,537
0.181.10.156,535
0.216.148.211,535
0.215.227.96,535
0.86.85.37,532
0.221.77.59,531
0.103.41.155,527
0.215.0.91,527
0.85.229.229,519
0.122.110.128,516
1.0.31.15,516
0.85.190.3,515
0.85.187.148,515
0.85.187.155,514
0.85.193.84,514
0.199.224.231,512
0.85.192.255,510
0.85.190.78,508
0.216.131.147,508
0.85.186.115,505
0.98.184.166,502
0.85.193.81,501
0.85.182.11,495
0.86.11.129,493
0.85.187.96,491
0.215.228.167,491
0.86.114.184,490
0.86.63.205,488
0.85.187.166,487
0.98.253.4,486
0.86.61.13,484
0.86.40.146,483
0.86.51.189,482
0.85.205.157,475
0.86.63.137,472
0.85.223.187,471
0.85.200.44,469
0.89.70.170,468
1.0.46.35,468
0.86.78.89,467
0.86.67.245,465
0.85.198.177,465
0.85.190.182,464
0.85.228.115,464
0.85.194.44,459
0.85.191.81,459
0.85.223.221,458
0.85.203.67,456
1.30.120.33,456
0.85.211.238,455
0.85.205.252,454
0.86.250.103,453
0.147.72.238,452
0.182.61.10,451
0.85.206.87,450
0.86.94.217,450
0.85.198.240,450
0.94.93.129,448
0.86.22.98,447
0.85.188.172,445
0.85.226.82,445
1.0.46.34,444
0.87.61.43,442
0.86.17.199,441
0.85.235.117,439
0.86.29.160,437
0.217.40.234,437
0.229.124.180,436
0.85.249.20,434
0.223.68.41,433
0.158.99.213,430
0.214.81.219,429
0.214.148.74,427
0.90.98.36,426
0.85.230.103,425
0.85.241.133,424
0.86.134.11,423
0.86.76.12,422
0.86.19.22,421
0.85.233.74,421
0.85.215.53,416
