country, number of clusters, open DNS servers (all), open DNS servers (success response), # in size=1, # in size 1-10, # in size 10-100, # in size100-1000, # in size > 1000
CG,10,85,54,7,11,1,34,1
GU,13,82,53,7,11,14,20,1
NE,10,80,53,8,3,36,6,0
GQ,2,59,53,0,5,9,31,8
PG,7,69,52,3,20,9,20,0
BF,16,107,51,14,5,11,20,1
RE,10,63,50,7,16,3,24,0
SC,9,56,42,6,5,14,17,0
MU,8,109,41,5,9,6,21,0
SL,3,44,37,1,6,3,27,0
GP,10,40,37,8,8,9,5,7
BS,13,62,36,9,18,1,5,3
BI,6,44,36,5,7,0,7,17
TM,1,34,33,1,0,7,21,4
MR,12,45,32,11,4,3,14,0
SO,3,34,32,3,2,1,24,2
LR,4,37,30,1,10,2,16,1
TL,1,32,30,1,0,0,25,4
SS,2,33,27,2,2,3,20,0
GY,5,34,25,2,4,5,11,3
SB,5,36,23,3,16,0,3,1
MV,5,46,20,3,6,0,8,3
CW,3,35,20,2,7,3,2,6
PF,5,37,19,4,4,1,9,1
TD,4,23,19,3,2,1,12,1
BB,5,45,18,1,11,0,5,1
FM,2,28,18,0,12,0,6,0
MF,2,19,18,0,10,3,3,2
GI,3,272,16,2,4,2,7,1
GF,4,17,16,3,3,0,7,3
AW,3,17,16,1,4,2,2,7
GM,4,26,15,3,4,1,7,0
GA,2,22,15,1,3,0,11,0
GG,1,18,15,0,1,11,1,2
IM,5,31,14,1,12,0,0,1
JE,2,27,14,1,3,4,4,2
BN,3,18,14,3,0,0,10,1
MQ,5,15,14,4,1,3,3,3
LI,5,18,13,4,3,5,1,0
SM,5,40,12,4,3,0,4,1
FJ,6,20,12,5,2,1,4,0
SR,3,22,11,1,6,0,4,0
KN,4,19,11,1,9,1,0,0
WS,3,16,11,1,9,0,1,0
LS,1,13,11,1,2,1,7,0
MC,3,12,11,2,5,4,0,0
HT,2,41,10,2,0,0,5,3
VI,2,13,10,1,1,0,4,4
SX,2,135,9,0,7,0,1,1
VC,1,24,9,1,2,0,5,1
GL,5,12,9,4,2,1,1,1
DJ,2,10,9,1,5,0,3,0
DM,3,10,9,2,5,1,0,1
BM,2,12,8,0,5,1,1,1
IO,1,8,8,0,7,0,0,1
PW,2,8,7,1,4,0,1,1
LC,1,8,7,0,3,0,1,3
KM,4,8,7,3,2,0,2,0
AG,3,8,7,3,0,1,0,3
TO,3,12,6,3,0,0,3,0
FK,3,7,4,1,3,0,0,0
TC,1,4,4,0,3,0,1,0
VU,1,4,4,0,3,0,1,0
ER,1,4,4,1,0,0,3,0
NF,2,4,4,2,0,1,1,0
BQ,2,4,4,2,0,0,0,2
FO,1,6,3,1,0,0,2,0
PM,1,5,3,0,3,0,0,0
YT,1,4,3,0,1,0,2,0
AX,3,4,3,3,0,0,0,0
GD,1,3,3,1,0,0,1,1
CF,0,3,3,0,0,1,2,0
ST,0,7,2,0,0,0,2,0
KP,2,5,2,2,0,0,0,0
NU,0,2,2,0,0,0,2,0
AI,1,2,2,1,0,0,1,0
CK,0,4,1,0,0,0,1,0
MH,1,2,1,1,0,0,0,0
GW,0,1,1,0,0,0,1,0
UM,0,1,1,0,0,0,1,0
AQ,0,1,1,0,0,0,1,0
NR,0,38,0,0,0,0,0,0
