new_cluster,,,,,,,,,,,,,,,,,,,,
ip12,15.142.247.223:1.0418829917907715,15.142.247.223:0.18312883377075195,15.142.247.223:0.18097949028015137,15.142.247.223:0.1816103458404541,15.142.247.223:0.19217705726623535,15.142.247.223:0.18399739265441895,15.142.247.223:0.18811392784118652,15.142.247.223:0.1769394874572754,15.142.247.223:0.1839289665222168,15.142.247.223:0.18844270706176758,15.142.247.223:0.17449641227722168,15.142.247.223:0.18583250045776367,15.142.247.223:0.18942523002624512,15.142.247.223:0.18153715133666992,15.142.247.223:0.18588995933532715,15.142.247.223:0.19223260879516602,15.142.247.223:0.18613195419311523,15.142.247.223:0.181138277053833,15.142.247.223:0.1898336410522461,15.142.247.223:0.18754792213439941
ip13,15.142.247.223:1.0395238399505615,15.142.247.223:0.18702244758605957,15.142.247.223:0.18323588371276855,15.142.247.223:0.18323826789855957,15.142.247.223:0.18288207054138184,15.142.247.223:0.18117523193359375,15.142.247.223:0.18179035186767578,15.142.247.223:0.18402719497680664,15.142.247.223:0.1839735507965088,15.142.247.223:0.19334006309509277,15.142.247.223:0.18899250030517578,15.142.247.223:0.18228602409362793,15.142.247.223:0.18274211883544922,15.142.247.223:0.19307160377502441,15.142.247.223:0.19367003440856934,15.142.247.223:0.18091082572937012,15.142.247.223:0.18497705459594727,15.142.247.223:0.1883845329284668,15.142.247.223:0.1873772144317627,15.142.247.223:0.19616055488586426
ip14,15.142.247.223:1.044600486755371,15.142.247.223:0.17849230766296387,15.142.247.223:0.19229650497436523,15.142.247.223:0.19200468063354492,15.142.247.223:0.19043588638305664,15.142.247.223:0.1896505355834961,15.142.247.223:0.1831817626953125,15.142.247.223:0.1801748275756836,15.142.247.223:0.19811630249023438,15.142.247.223:0.19051504135131836,15.142.247.223:0.18677496910095215,15.142.247.223:0.1878952980041504,15.142.247.223:0.18626093864440918,15.142.247.223:0.18523716926574707,15.142.247.223:0.18677878379821777,15.142.247.223:0.1870272159576416,15.142.247.223:0.19802212715148926,15.142.247.223:0.1913163661956787,15.142.247.223:0.18884015083312988,15.142.247.223:0.18431735038757324
ip15,15.142.247.223:1.0255024433135986,15.142.247.223:0.19026756286621094,15.142.247.223:0.1860179901123047,15.142.247.223:0.18819737434387207,15.142.247.223:0.18729591369628906,15.142.247.223:0.18834280967712402,15.142.247.223:0.19325947761535645,15.142.247.223:0.18545961380004883,15.142.247.223:0.1805436611175537,15.142.247.223:0.19610166549682617,15.142.247.223:0.19651222229003906,15.142.247.223:0.18475031852722168,15.142.247.223:0.1815330982208252,15.142.247.223:0.18607187271118164,15.142.247.223:0.193650484085083,15.142.247.223:0.19680142402648926,15.142.247.223:0.19527339935302734,15.142.247.223:0.19049787521362305,15.142.247.223:0.18990302085876465,15.142.247.223:0.18299102783203125
ip16,15.142.247.223:1.0407006740570068,15.142.247.223:0.19231605529785156,15.142.247.223:0.1889204978942871,15.142.247.223:0.18434691429138184,15.142.247.223:0.18377375602722168,15.142.247.223:0.18803095817565918,15.142.247.223:0.18305492401123047,15.142.247.223:0.18763089179992676,15.142.247.223:0.18866205215454102,15.142.247.223:0.18631529808044434,15.142.247.223:0.19465255737304688,15.142.247.223:0.18218994140625,15.142.247.223:0.19469571113586426,15.142.247.223:0.18657612800598145,15.142.247.223:0.1941540241241455,15.142.247.223:0.19907426834106445,15.142.247.223:0.18933844566345215,15.142.247.223:0.18906712532043457,15.142.247.223:0.1899566650390625,15.142.247.223:0.19432330131530762
ip17,15.142.247.223:1.03216552734375,15.142.247.223:0.1972649097442627,15.142.247.223:0.1967759132385254,15.142.247.223:0.19238734245300293,15.142.247.223:0.19468450546264648,15.142.247.223:0.19084787368774414,15.142.247.223:0.19875621795654297,15.142.247.223:0.1849384307861328,15.142.247.223:0.193695068359375,15.142.247.223:0.18794465065002441,15.142.247.223:0.19101881980895996,15.142.247.223:0.18859434127807617,15.142.247.223:0.1846303939819336,15.142.247.223:0.18688607215881348,15.142.247.223:0.19307184219360352,15.142.247.223:0.18464231491088867,15.142.247.223:0.1914060115814209,15.142.247.223:0.18802547454833984,15.142.247.223:0.1972637176513672,15.142.247.223:0.1914830207824707
ip18,15.142.247.223:1.0289483070373535,15.142.247.223:0.18882989883422852,15.142.247.223:0.18177294731140137,15.142.247.223:0.19208693504333496,15.142.247.223:0.19217395782470703,15.142.247.223:0.19465279579162598,15.142.247.223:0.1911027431488037,15.142.247.223:0.1908879280090332,15.142.247.223:0.1895439624786377,15.142.247.223:0.18963909149169922,15.142.247.223:0.195267915725708,15.142.247.223:0.19570684432983398,15.142.247.223:0.18659019470214844,15.142.247.223:0.20168256759643555,15.142.247.223:0.19051766395568848,15.142.247.223:0.19930148124694824,15.142.247.223:0.1900794506072998,15.142.247.223:0.18832778930664062,15.142.247.223:0.19372272491455078,15.142.247.223:0.18681907653808594
ip19,15.142.247.223:1.0435843467712402,15.142.247.223:0.1950674057006836,15.142.247.223:0.18867754936218262,15.142.247.223:0.20520448684692383,15.142.247.223:0.19214153289794922,15.142.247.223:0.1923820972442627,15.142.247.223:0.1929779052734375,15.142.247.223:0.19744014739990234,15.142.247.223:0.19533538818359375,15.142.247.223:0.18918967247009277,15.142.247.223:0.19611430168151855,15.142.247.223:0.19045805931091309,15.142.247.223:0.18654155731201172,15.142.247.223:0.18507790565490723,15.142.247.223:0.1944131851196289,15.142.247.223:0.1992943286895752,15.142.247.223:0.19101738929748535,15.142.247.223:0.1970844268798828,15.142.247.223:0.20351195335388184,15.142.247.223:0.20168662071228027
ip20,15.142.247.223:1.0452289581298828,15.142.247.223:0.20536398887634277,15.142.247.223:0.18393230438232422,15.142.247.223:0.19472575187683105,15.142.247.223:0.19006133079528809,15.142.247.223:0.18894600868225098,15.142.247.223:0.19588160514831543,15.142.247.223:0.20503997802734375,15.142.247.223:0.1989896297454834,15.142.247.223:0.19692564010620117,15.142.247.223:0.19181180000305176,15.142.247.223:0.19327282905578613,15.142.247.223:0.1908578872680664,15.142.247.223:0.20245671272277832,15.142.247.223:0.19110536575317383,15.142.247.223:0.19124579429626465,15.142.247.223:0.1968991756439209,15.142.247.223:0.18854522705078125,15.142.247.223:0.19153213500976562,15.142.247.223:0.19893503189086914
ip21,15.142.247.223:1.0341002941131592,15.142.247.223:0.1894519329071045,15.142.247.223:0.19239544868469238,15.142.247.223:0.19999051094055176,15.142.247.223:0.19373440742492676,15.142.247.223:0.19516873359680176,15.142.247.223:0.19980478286743164,15.142.247.223:0.19620895385742188,15.142.247.223:0.19636940956115723,15.142.247.223:0.2040727138519287,15.142.247.223:0.20849609375,15.142.247.223:0.20346307754516602,15.142.247.223:0.2007906436920166,15.142.247.223:0.1924450397491455,15.142.247.223:0.2000124454498291,15.142.247.223:0.1892566680908203,15.142.247.223:0.18897032737731934,15.142.247.223:0.18775033950805664,15.142.247.223:0.19492602348327637,15.142.247.223:0.19707179069519043
ip22,15.142.247.223:1.0222079753875732,15.142.247.223:0.17806529998779297,15.142.247.223:0.17977690696716309,15.142.247.223:0.18564796447753906,15.142.247.223:0.1863541603088379,false:10,15.142.247.223:0.17606139183044434,15.142.247.223:0.19597721099853516,15.142.247.223:0.1833043098449707,15.142.247.223:0.18193435668945312,15.142.247.223:0.18446683883666992,15.142.247.223:0.1804060935974121,15.142.247.223:0.183091402053833,15.142.247.223:0.19118237495422363,15.142.247.223:0.18480443954467773,15.142.247.223:0.18573808670043945,15.142.247.223:0.18468451499938965,15.142.247.223:0.17643475532531738,15.142.247.223:0.1810758113861084,15.142.247.223:0.17701363563537598
ip23,15.142.247.223:1.03501558303833,15.142.247.223:0.18625450134277344,15.142.247.223:0.19213533401489258,15.142.247.223:0.1930077075958252,15.142.247.223:0.18770074844360352,15.142.247.223:0.18555927276611328,15.142.247.223:0.18391084671020508,15.142.247.223:0.1826944351196289,15.142.247.223:0.18779301643371582,15.142.247.223:0.18202590942382812,15.142.247.223:0.18995928764343262,15.142.247.223:0.18063926696777344,15.142.247.223:0.18014764785766602,15.142.247.223:0.1878528594970703,15.142.247.223:0.19089341163635254,15.142.247.223:0.17702770233154297,15.142.247.223:0.1800367832183838,15.142.247.223:0.18377995491027832,15.142.247.223:0.1926734447479248,false:10
ip24,15.142.247.223:1.0283501148223877,15.142.247.223:0.1850757598876953,15.142.247.223:0.19552826881408691,15.142.247.223:0.19313693046569824,15.142.247.223:0.1838834285736084,15.142.247.223:0.18840599060058594,15.142.247.223:0.1884305477142334,15.142.247.223:0.18213105201721191,15.142.247.223:0.19191241264343262,15.142.247.223:0.20181679725646973,15.142.247.223:0.1905522346496582,15.142.247.223:0.18471717834472656,15.142.247.223:0.18649721145629883,15.142.247.223:0.1908736228942871,15.142.247.223:0.1940312385559082,false:10,15.142.247.223:0.1882336139678955,15.142.247.223:0.1853940486907959,15.142.247.223:0.19784212112426758,15.142.247.223:0.18983244895935059
